Subject	Group	Condition	File	Train	BeatNb	BeatInstant	TapInstant
13	1	2	11	1	16	12.05195	5.38395
13	1	2	11	1	17	12.55345	5.7599
13	1	2	11	2	1	0.3024	0.281
13	1	2	11	2	2	0.8024	0.7272
13	1	2	11	2	3	1.3024	1.26925
13	1	2	11	2	4	1.8024	1.7802
13	1	2	11	2	5	2.3024	2.29155
13	1	2	11	2	6	2.8024	2.7813
13	1	2	11	2	7	3.3024	3.25395
13	1	2	11	2	8	3.8039	3.75575
13	1	2	11	3	1	0.2836	0.0004
13	1	2	11	3	2	0.7836	0.32735
13	1	2	11	3	3	1.2836	0.766
13	1	2	11	3	4	1.7836	1.24615
13	1	2	11	3	5	2.2836	1.75755
13	1	2	11	3	6	2.7836	2.24605
13	1	2	11	3	7	3.2836	2.77115
13	1	2	11	3	8	3.7851	3.223
13	1	2	11	4	1	0.32015	0.01725
13	1	2	11	4	2	0.82015	0.3545
13	1	2	11	4	3	1.3211	0.81385
13	1	2	11	4	4	1.8211	1.2695
13	1	2	11	4	5	2.3211	1.7754
13	1	2	11	4	6	2.8211	2.27315
13	1	2	11	4	7	3.3211	2.74385
13	1	2	11	4	8	3.82115	3.21365
13	1	2	11	5	1	0.33	0.0047
13	1	2	11	5	2	0.83	0.35045
13	1	2	11	5	3	1.33	0.79095
13	1	2	11	5	4	1.83005	1.2493
13	1	2	11	5	5	2.8291	1.72225
13	1	2	11	5	6	3.3291	2.3234
14	2	1	17	1	1	0.76225	0.1543
14	2	1	17	1	2	1.40525	0.4658
14	2	1	17	1	3	2.17515	0.7734
14	2	1	17	1	4	2.76225	1.0739
14	2	1	17	1	5	3.3159	1.38595
14	2	1	17	1	6	3.9544	1.68985
14	2	1	17	1	7	4.9374	1.99845
14	2	1	17	1	8	5.46015	2.31215
14	2	1	17	1	9	6.3356	2.62225
14	2	1	17	1	10	6.8989	2.9371
14	2	1	17	1	11	7.7619	3.23725
14	2	1	17	1	12	8.4851	3.54895
14	2	1	17	1	13	9.2421	3.85015
14	2	1	17	1	14	9.74935	4.16655
14	2	1	17	1	15	10.41275	4.7516
14	2	1	17	1	16	11.10975	5.0521
14	2	1	17	1	17	11.6137	5.56505
14	2	1	17	1	18	12.1553	5.96265
14	2	1	17	1	19	12.7224	7.0903
14	2	1	17	1	20	13.39615	8.5409
14	2	1	17	1	21	14.08105	8.94545
14	2	1	17	1	22	14.82115	9.49825
14	2	1	17	1	23	15.39025	10.60495
14	2	1	17	1	24	16.4179	11.2676
14	2	1	17	1	25	17.5171	12.25995
14	2	1	17	1	26	18.2945	13.7294
14	2	1	17	1	27	19.27305	14.055
14	2	1	17	1	28	19.97455	15.3682
14	2	1	17	1	29	21.62775	16.58645
14	2	1	17	1	30	22.3918	17.6666
14	2	1	17	1	31	23.04415	17.9937
14	2	1	17	1	32	23.7086	18.5105
14	2	1	17	1	33	24.4829	19.31545
14	2	1	17	1	34	25.36385	20.12015
14	2	1	17	1	35	25.935	20.8804
14	2	1	17	1	36	26.75715	21.7905
14	2	1	17	1	37	27.55695	22.53465
14	2	1	17	1	38	28.1627	23.20315
14	2	1	17	1	39	28.6874	24.6583
14	2	1	17	1	40	29.63155	25.59325
14	2	1	21	1	1	0.1145	0.2668
14	2	1	21	1	2	0.96345	0.7893
